instance_seed,alpha,arm,tuning_seed,achieved_H,ideal_mass
2,0.03,cobyla-25,103,0.4055915715260664,0.07239258901864848
2,0.03,cobyla-25,104,0.37857350708203186,0.07961078060012787
2,0.03,cobyla-25,105,0.3785714801199529,0.07994653999924323
2,0.03,cobyla-25,106,0.4055800191826773,0.07127292437157415
2,0.03,cobyla-25,107,0.3785640583612002,0.07984882367259344
2,0.03,cobyla-25,108,0.37857861123533865,0.07956185152127193
2,0.03,cobyla-25,109,0.378655389568039,0.08027829786498922
2,0.03,cobyla-25,110,0.378605893765806,0.07942090188402502
2,0.03,cobyla-50,101,0.37878690855798036,0.08057185608114044
2,0.03,cobyla-50,102,0.3785622259357653,0.07977497151074404
2,0.03,cobyla-50,103,0.4055489233076449,0.07143664216191424
2,0.03,cobyla-50,104,0.37857350708203186,0.07961078060012787
2,0.03,cobyla-50,105,0.3785714801199529,0.07994653999924323
2,0.03,cobyla-50,106,0.3785628749740163,0.07972760904278248
2,0.03,cobyla-50,107,0.3785640583612002,0.07984882367259344
2,0.03,cobyla-50,108,0.37857861123533865,0.07956185152127193
2,0.03,cobyla-50,109,0.3785791129290016,0.0799988297475661
2,0.03,cobyla-50,110,0.37856689946524535,0.07989429080687717
2,0.03,spsa,101,0.9049399503997095,0.025294407891460636
2,0.03,spsa,102,0.8901745140511149,0.0010032593202873757
2,0.03,spsa,103,0.9744619496951299,0.018640784669834466
2,0.03,spsa,104,0.6661176502829529,0.030670179472019485
2,0.03,spsa,105,0.5320721061082045,0.04568957071209525
2,0.03,spsa,106,0.4243467768532351,0.06526221846313195
2,0.03,spsa,107,0.5014581440634472,0.05601072480525529
2,0.03,spsa,108,0.6632786600827256,0.031142639992283686
2,0.03,spsa,109,0.8175671675477567,0.028851973962648426
2,0.03,spsa,110,0.7564433110474384,0.03333849211853824
2,0.03,lbfgs-sv,101,0.5938038586718819,0.051575412329320135
2,0.03,lbfgs-sv,102,0.4052835733164144,0.07190714994436921
2,0.03,lbfgs-sv,103,0.40528357331526044,0.07190714306262835
2,0.03,lbfgs-sv,104,0.37856212384279864,0.07977685677549923
2,0.03,lbfgs-sv,105,0.4865500035595073,0.054772977431785136
2,0.03,lbfgs-sv,106,0.37856212388715305,0.07977654880655785
