T,m,seed,reps,dp_cost,qaoa_cost,exact_match,gap_abs,gap_pct,opt_prob_mass,feasibility_rate,qaoa_time_s,dp_time_s,brute_cost,brute_matches_dp,n_starts,shots,uniform_opt_mass,uniform_best_cost,mass_ratio,mass_ratio_is_upper_bound,shots_cover_space
3,10,0,3,0.004226668082960489,0.004226668082960478,True,-1.0408340855860843e-17,-2.462540386793401e-13,0.000244140625,0.08984375,9.882894586997281,9.88629981293343e-05,0.004226668082960478,True,5,4096,0.0009765625,0.004440787646779558,0.25,False,True
3,10,1,1,-0.05983493856314634,-0.05983493856314635,True,-1.3877787807814457e-17,-2.3193452088479444e-14,0.00439453125,0.18603515625,7.35924692700064,8.361800428247079e-05,-0.05983493856314635,True,5,4096,0.0009765625,-0.05931138091810793,4.5,False,True
3,10,1,2,-0.05983493856314634,0.05919312311555758,False,0.11902806167870392,198.9273567200016,0.0,0.10498046875,8.78292528900056,8.843599789543077e-05,-0.05983493856314635,True,5,4096,0.0009765625,-0.05931138091810793,0.25,True,True
3,10,1,3,-0.05983493856314634,-0.03237011328325336,False,0.027464825279892982,45.90098350465956,0.0,0.075927734375,10.005955199005257,8.309099939651787e-05,-0.05983493856314635,True,5,4096,0.0009765625,-0.05931138091810793,0.25,True,True
3,10,2,1,-0.004368300816757986,-0.004368300816757997,True,-1.0408340855860843e-17,-2.3826978251890584e-13,0.001953125,0.15234375,6.2812688289996,9.950599633157253e-05,-0.004368300816757997,True,5,4096,0.0009765625,-0.0037652606111054187,2.0,False,True
3,10,2,2,-0.004368300816757986,-0.004368300816757997,True,-1.0408340855860843e-17,-2.3826978251890584e-13,0.002197265625,0.140869140625,10.600734316998569,8.760699711274356e-05,-0.004368300816757997,True,5,4096,0.0009765625,-0.0037652606111054187,2.25,False,True
3,10,2,3,-0.004368300816757986,-0.004368300816757997,True,-1.0408340855860843e-17,-2.3826978251890584e-13,0.000244140625,0.098876953125,10.748705101002997,8.860699745127931e-05,-0.004368300816757997,True,5,4096,0.0009765625,-0.0037652606111054187,0.25,False,True
4,14,0,1,-0.16647159836980444,-0.16647159836980446,True,-2.7755575615628914e-17,-1.6672859447154428e-14,0.00048828125,0.136962890625,13.818957186995249,0.000103446000139229,-0.16647159836980446,True,5,4096,6.103515625e-05,-0.10235091285487313,8.0,False,False
4,14,0,2,-0.16647159836980444,-0.09704604118656476,False,0.06942555718323967,41.704145249459245,0.0,0.05615234375,28.30517072499788,0.00015822400018805638,-0.16647159836980446,True,5,4096,6.103515625e-05,-0.10235091285487313,4.0,True,False
4,14,0,3,-0.16647159836980444,-0.12581210856498246,False,0.04065948980482198,24.424280299453788,0.0,0.047607421875,35.857095378996746,0.00014533899957314134,-0.16647159836980446,True,5,4096,6.103515625e-05,-0.10235091285487313,4.0,True,False
